modifier	subject_verb	by_agent
largest_nuclear	plant_seized	by_Russian_forces
main	tower_hit	by_projectile
multiple	towns_hit	by_Ukraine
northwestern	village_hit	by_Russian_shells_residential
official	medal_produced	by_Russian_Federation
old	boy_crucified	by_Ukrainian_nationalists
point_peace	formula_discussed	by_allies
potential	visit_confirmed	by_Washington
recent	gains_aided	by_aggressive_air_support_front_lines
residential	building_struck	by_missile
separatist	fighters_held	by_Ukrainian_forces
sharp	increase_considered	by_Ukraine
similar	stunt_carried	by_pair_Russian_comedians
special	operations_launched	by_security_service
static	conflict_labelled	by_some
storey	house_struck	by_Russian_shells
story	building_struck	by_drone_Russia
third	axis_deployed	by_Western_Military_District_eastern
thunderous	bangs_followed	by_sounds_breaking_car
vile	strike_attacked	by_Russian_drones
worker_Paul	Urey_captured	by_Russian_forces
